Time (s),Channel 1 (V),Channel 2 (V)
0.00030744,-5.612139732306929,-0.05098146527336505
0.00030988,-5.612139732306929,-0.05098146527336505
0.00031232,-5.612139732306929,-0.054406717077094296
0.00031476,-5.612139732306929,-0.05098146527336505
0.0003172,-5.612139732306929,-0.04413096166590655
0.00031964,-5.646155300596053,-0.047556213469635795
0.00032208,-5.6801708688851775,-0.05098146527336505
0.00032452,-5.646155300596053,-0.04413096166590655
0.00032696,-5.646155300596053,-0.047556213469635795
0.0003294,-5.646155300596053,-0.05098146527336505
0.00033184,-5.6801708688851775,-0.04413096166590655
0.00033428,-5.612139732306929,-0.047556213469635795
0.00033672,-5.6801708688851775,-0.04413096166590655
0.00033915999999999997,-5.6801708688851775,-0.047556213469635795
0.0003416,-5.6801708688851775,-0.047556213469635795
0.00034404,-5.6801708688851775,-0.04413096166590655
0.00034648,-5.714186437174302,-0.04413096166590655
0.00034892,-5.748202005463426,-0.04413096166590655
0.00035136,-5.7822175737525505,-0.040705709862177294
0.0003538,-5.748202005463426,-0.04413096166590655
0.00035624,-5.7822175737525505,-0.047556213469635795
0.00035868,-5.748202005463426,-0.04413096166590655
0.00036112,-5.748202005463426,-0.040705709862177294
0.00036356,-5.7822175737525505,-0.04413096166590655
0.000366,-5.748202005463426,-0.047556213469635795
0.00036844,-5.7822175737525505,-0.040705709862177294
0.00037087999999999997,-5.816233142041675,-0.03728045805844804
0.00037332,-5.816233142041675,-0.040705709862177294
0.00037576,-5.816233142041675,-0.04413096166590655
0.0003782,-5.816233142041675,-0.040705709862177294
0.00038064,-5.816233142041675,-0.040705709862177294
0.00038308,-5.816233142041675,-0.03728045805844804
0.00038552,-5.850248710330799,-0.040705709862177294
0.00038796,-5.8842642786199235,-0.03728045805844804
0.0003904,-5.8842642786199235,-0.03728045805844804
0.00039284,-5.850248710330799,-0.040705709862177294
0.00039528,-5.8842642786199235,-0.04413096166590655
0.00039772,-5.952295415198172,-0.040705709862177294
0.00040016,-5.918279846909048,-0.03728045805844804
0.0004026,-5.918279846909048,-0.040705709862177294
0.00040504,-5.8842642786199235,-0.03728045805844804
0.00040748,-5.918279846909048,-0.033855206254718787
0.00040992,-5.918279846909048,-0.03728045805844804
0.00041236,-5.952295415198172,-0.033855206254718787
0.0004148,-5.952295415198172,-0.033855206254718787
0.00041724,-5.952295415198172,-0.033855206254718787
0.00041968,-5.952295415198172,-0.03728045805844804
0.00042212,-5.9863109834872965,-0.033855206254718787
0.00042456,-5.952295415198172,-0.033855206254718787
0.00042699999999999997,-5.9863109834872965,-0.03042995445098954
0.00042944,-5.9863109834872965,-0.033855206254718787
0.00043188,-5.9863109834872965,-0.03042995445098954
0.00043432,-5.9863109834872965,-0.033855206254718787
0.00043676,-6.020326551776421,-0.033855206254718787
0.0004392,-6.020326551776421,-0.033855206254718787
0.00044164,-6.020326551776421,-0.03042995445098954
0.00044408,-6.020326551776421,-0.033855206254718787
0.00044652,-6.0883576883546695,-0.033855206254718787
0.00044896,-6.054342120065545,-0.02700470264726029
0.0004514,-6.122373256643794,-0.02700470264726029
0.00045384,-6.0883576883546695,-0.03042995445098954
0.00045628,-6.0883576883546695,-0.03042995445098954
0.00045871999999999997,-6.122373256643794,-0.03042995445098954
0.00046116,-6.0883576883546695,-0.033855206254718787
0.0004636,-6.0883576883546695,-0.02700470264726029
0.00046604,-6.122373256643794,-0.02700470264726029
0.00046848,-6.122373256643794,-0.02700470264726029
0.00047092,-6.122373256643794,-0.03042995445098954
0.00047336,-6.156388824932918,-0.02700470264726029
0.0004758,-6.156388824932918,-0.02700470264726029
0.00047824,-6.1904043932220425,-0.02700470264726029
0.00048068,-6.156388824932918,-0.02700470264726029
0.00048312,-6.156388824932918,-0.02357945084353104
0.00048556,-6.156388824932918,-0.02700470264726029
0.000488,-6.1904043932220425,-0.02357945084353104
0.00049044,-6.122373256643794,-0.02700470264726029
0.00049288,-6.1904043932220425,-0.02357945084353104
0.00049532,-6.224419961511167,-0.02357945084353104
0.00049776,-6.224419961511167,-0.02357945084353104
0.0005002,-6.224419961511167,-0.02357945084353104
0.0005026399999999999,-6.224419961511167,-0.02357945084353104
0.00050508,-6.224419961511167,-0.020154199039801785
0.00050752,-6.224419961511167,-0.020154199039801785
0.00050996,-6.224419961511167,-0.020154199039801785
0.0005124,-6.258435529800291,-0.020154199039801785
0.00051484,-6.258435529800291,-0.02357945084353104
0.00051728,-6.258435529800291,-0.016728947236072534
0.00051972,-6.2924510980894155,-0.013303695432343284
0.00052216,-6.258435529800291,-0.016728947236072534
0.0005246,-6.2924510980894155,-0.020154199039801785
0.00052704,-6.2924510980894155,-0.020154199039801785
0.00052948,-6.258435529800291,-0.020154199039801785
0.00053192,-6.2924510980894155,-0.016728947236072534
0.00053436,-6.258435529800291,-0.020154199039801785
0.0005368,-6.2924510980894155,-0.016728947236072534
0.00053924,-6.32646666637854,-0.020154199039801785
0.00054168,-6.360482234667664,-0.016728947236072534
0.00054412,-6.360482234667664,-0.013303695432343284
0.00054656,-6.360482234667664,-0.016728947236072534
0.000549,-6.360482234667664,-0.016728947236072534
0.00055144,-6.360482234667664,-0.016728947236072534
0.00055388,-6.360482234667664,-0.013303695432343284
0.00055632,-6.3944978029567885,-0.013303695432343284
0.0005587599999999999,-6.3944978029567885,-0.013303695432343284
0.0005612,-6.360482234667664,-0.009878443628614031
0.00056364,-6.428513371245913,-0.009878443628614031
0.00056608,-6.428513371245913,-0.016728947236072534
0.00056852,-6.428513371245913,-0.013303695432343284
0.00057096,-6.428513371245913,-0.009878443628614031
0.0005734,-6.428513371245913,-0.00645319182488478
0.00057584,-6.428513371245913,-0.009878443628614031
0.00057828,-6.428513371245913,-0.013303695432343284
0.00058072,-6.428513371245913,-0.013303695432343284
0.00058316,-6.428513371245913,-0.009878443628614031
0.0005856,-6.4965445078241615,-0.009878443628614031
0.00058804,-6.4965445078241615,-0.009878443628614031
0.00059048,-6.4965445078241615,-0.009878443628614031
0.00059292,-6.4965445078241615,-0.009878443628614031
0.00059536,-6.4965445078241615,-0.013303695432343284
0.0005978,-6.462528939535037,-0.009878443628614031
0.00060024,-6.4965445078241615,-0.00645319182488478
0.00060268,-6.530560076113286,-0.00645319182488478
0.00060512,-6.530560076113286,-0.009878443628614031
0.00060756,-6.530560076113286,-0.009878443628614031
0.00061,-6.4965445078241615,-0.00645319182488478
0.00061244,-6.56457564440241,-0.00645319182488478
0.00061488,-6.56457564440241,-0.00645319182488478
0.00061732,-6.56457564440241,-0.00645319182488478
0.00061976,-6.56457564440241,-0.0030279400211555285
0.0006221999999999999,-6.56457564440241,-0.0030279400211555285
0.00062464,-6.56457564440241,-0.0030279400211555285
0.00062708,-6.632606780980659,-0.0030279400211555285
0.00062952,-6.5985912126915345,-0.0030279400211555285
0.00063196,-6.5985912126915345,0.00039731178257372286
0.0006344,-6.632606780980659,-0.0030279400211555285
